RedFighter,BlueFighter,Winner,Method,Date,WeightClass
Cory Sandhagen,Deiveson FigueiRedo,Red,KO/TKO,03-05-25,Bantamweight
Reinier de Ridder,Bo Nickal,Red,KO/TKO,03-05-25,Middleweight
Santiago Ponzinibbio,Daniel Rodriguez,Blue,KO/TKO,03-05-25,Welterweight
Montel Jackson,Daniel Marcos,Red,U-DEC,03-05-25,Bantamweight
Cameron Smotherman,Serhiy Sidey,Blue,U-DEC,03-05-25,Bantamweight
Jeremy Stephens,Mason Jones,Blue,U-DEC,03-05-25,Lightweight
Yana Santos,Miesha Tate,Red,U-DEC,03-05-25,Women's Bantamweight
Ryan Loder,Azamat Bekoev,Blue,KO/TKO,03-05-25,Middleweight
Marina Rodriguez,Gillian Robertson,Blue,KO/TKO,03-05-25,Women's Strawweight
Gaston Bolanos,Quang Le,Blue,SUB,03-05-25,Bantamweight
Thomas Petersen,Don'Tale Mayes,Red,U-DEC,03-05-25,Heavyweight
Juliana Miller,Ivana Petrovic,Red,U-DEC,03-05-25,Women's Flyweight
Ian Machado Garry,Carlos Prates,Red,U-DEC,26-04-25,Welterweight
Anthony Smith,Zhang Mingyang,Blue,KO/TKO,26-04-25,Light Heavyweight
Giga Chikadze,David Onama,Blue,U-DEC,26-04-25,Featherweight
Michel Pereira,Abus Magomedov,Blue,U-DEC,26-04-25,Middleweight
Randy Brown,Nicolas Dalby,Red,KO/TKO,26-04-25,Welterweight
Ikram Aliskerov,Andre Muniz,Red,KO/TKO,26-04-25,Middleweight
Matt Schnell,Jimmy Flick,Red,U-DEC,26-04-25,Flyweight
Evan Elder,Gauge Young,Red,U-DEC,26-04-25,Lightweight
Chris Gutierrez,John Castaneda,Red,S-DEC,26-04-25,Featherweight
Da'Mon Blackshear,Alatengheili,Red,U-DEC,26-04-25,Bantamweight
Malcolm Wellmaker,Cameron Saaiman,Red,KO/TKO,26-04-25,Bantamweight
Jaqueline Amorim,Polyana Viana,Red,SUB,26-04-25,Women's Strawweight
Timmy Cuamba,Roberto Romero,Red,KO/TKO,26-04-25,Featherweight
Chelsea Chandler,Joselyne Edwards,Blue,KO/TKO,26-04-25,Women's Bantamweight
Alexander Volkanovski,Diego Lopes,Red,U-DEC,12-04-25,Featherweight
Michael Chandler,Paddy Pimblett,Blue,KO/TKO,12-04-25,Lightweight
Yair Rodriguez,Patricio Freire,Red,U-DEC,12-04-25,Featherweight
Bryce Mitchell,Jean Silva,Blue,SUB,12-04-25,Featherweight
Nikita Krylov,Dominick Reyes,Blue,KO/TKO,12-04-25,Light Heavyweight
Dan Ige,Sean Woodson,Red,KO/TKO,12-04-25,Featherweight
Yan Xiaonan,Virna Jandiroba,Blue,U-DEC,12-04-25,Women's Strawweight
Jim Miller,Chase Hooper,Blue,U-DEC,12-04-25,Lightweight
Darren Elkins,Julian Erosa,Blue,KO/TKO,12-04-25,Featherweight
Sedriques Dumas,Michal Oleksiejczuk,Blue,KO/TKO,12-04-25,Middleweight
Sumudaerji,Mitch Raposo,Red,S-DEC,12-04-25,Flyweight
Tresean Gore,Marco Tulio,Blue,KO/TKO,12-04-25,Middleweight
Nora Cornolle,Hailey Cowan,Red,SUB,12-04-25,Women's Bantamweight
Josh Emmett,Lerone Murphy,Blue,U-DEC,05-04-25,Featherweight
Pat Sabatini,Joanderson Brito,Red,U-DEC,05-04-25,Featherweight
Cortavious Romious,ChangHo Lee,Blue,KO/TKO,05-04-25,Bantamweight
Brad Tavares,Gerald Meerschaert,Red,U-DEC,05-04-25,Middleweight
Ode Osbourne,Luis Gurule,Red,KO/TKO,05-04-25,Flyweight
Torrez Finney,Robert Valentin,Red,S-DEC,05-04-25,Middleweight
Diana Belbita,Dione Barbosa,Blue,SUB,05-04-25,Women's Flyweight
Rhys McKee,Daniel Frunza,Red,KO/TKO,05-04-25,Welterweight
Loma Lookboonmee,Istela Nunes,Red,U-DEC,05-04-25,Women's Strawweight
Victor Henry,Pedro Falcao,Red,U-DEC,05-04-25,Bantamweight
Martin Buday,Uran Satybaldiev,Red,U-DEC,05-04-25,Heavyweight
Vanessa Demopoulos,Talita Alencar,Blue,U-DEC,05-04-25,Women's Strawweight
Brandon Moreno,Steve Erceg,Red,U-DEC,29-03-25,Flyweight
Manuel Torres,Drew Dober,Red,KO/TKO,29-03-25,Lightweight
Edgar Chairez,CJ Vergara,Red,SUB,29-03-25,Flyweight
Raul Rosas Jr.,Vince Morales,Red,U-DEC,29-03-25,Bantamweight
David Martinez,Saimon Oliveira,Red,KO/TKO,29-03-25,Bantamweight
Ronaldo Rodriguez,Kevin Borjas,Blue,U-DEC,29-03-25,Flyweight
Jose Daniel Medina,Ateba Gautier,Blue,KO/TKO,29-03-25,Middleweight
Christian Rodriguez,Melquizael Costa,Blue,U-DEC,29-03-25,Featherweight
Loopy Godinez,Julia Polastri,Red,U-DEC,29-03-25,Women's Strawweight
Rafa Garcia,Vinc Pichel,Red,U-DEC,29-03-25,Lightweight
Jamall Emmers,Gabriel Miranda,Red,KO/TKO,29-03-25,Featherweight
MarQuel Mederos,Austin Hubbard,Red,S-DEC,29-03-25,Lightweight
Leon Edwards,Sean Brady,Blue,SUB,22-03-25,Welterweight
Jan Blachowicz,Carlos Ulberg,Blue,U-DEC,22-03-25,Light Heavyweight
Gunnar Nelson,Kevin Holland,Blue,U-DEC,22-03-25,Welterweight
Molly McCann,Alexia Thainara,Blue,SUB,22-03-25,Women's Strawweight
Jordan Vucenic,Chris Duncan,Blue,SUB,22-03-25,Lightweight
Nathaniel Wood,Morgan Charriere,Red,U-DEC,22-03-25,Featherweight
Jai Herbert,Chris Padilla,Blue,S-DEC,22-03-25,Lightweight
Lone'er Kavanagh,Felipe dos Santos,Red,U-DEC,22-03-25,Flyweight
Marcin Tybura,Mick Parkin,Red,U-DEC,22-03-25,Heavyweight
Christian Leroy Duncan,Andrey Pulyaev,Red,U-DEC,22-03-25,Middleweight
Shauna Bannon,Puja Tomar,Red,SUB,22-03-25,Women's Strawweight
Nathan Fletcher,Caolan Loughran,Blue,S-DEC,22-03-25,Bantamweight
Guram Kutateladze,Kaue Fernandes,Blue,U-DEC,22-03-25,Lightweight
Marvin Vettori,Roman Dolidze,Blue,U-DEC,15-03-25,Middleweight
Chidi Njokuani,Elizeu Zaleski dos Santos,Red,KO/TKO,15-03-25,Welterweight
Alexander Hernandez,Kurt Holobaugh,Red,U-DEC,15-03-25,Lightweight
Da'Mon Blackshear,Cody Gibson,Red,SUB,15-03-25,Bantamweight
Diyar Nurgozhay,Brendson Ribeiro,Blue,SUB,15-03-25,Light Heavyweight
SeungWoo Choi,Kevin Vallejos,Blue,KO/TKO,15-03-25,Featherweight
Waldo Cortes-Acosta,Ryan Spann,Red,KO/TKO,15-03-25,Heavyweight
SuYoung You,AJ Cunningham,Red,U-DEC,15-03-25,Bantamweight
Carlos Vera,Josias Musasa,Red,SUB,15-03-25,Bantamweight
Stephanie Luciano,Sam Hughes,Blue,S-DEC,15-03-25,Women's Strawweight
Daniel Barez,Andre Lima,Blue,SUB,15-03-25,Flyweight
Josiane Nunes,Priscila Cachoeira,Blue,KO/TKO,15-03-25,Women's Bantamweight
Yuneisy Duben,Carli Judice,Blue,KO/TKO,15-03-25,Women's Flyweight
Alex Pereira,Magomed Ankalaev,Blue,U-DEC,08-03-25,Light Heavyweight
Justin Gaethje,Rafael Fiziev,Red,U-DEC,08-03-25,Lightweight
Jalin Turner,Ignacio Bahamondes,Blue,SUB,08-03-25,Lightweight
Amanda Lemos,Iasmin Lucindo,Red,U-DEC,08-03-25,Women's Strawweight
King Green,Mauricio Ruffy,Blue,KO/TKO,08-03-25,Lightweight
Joshua Van,Rei Tsuruya,Red,U-DEC,08-03-25,Flyweight
Brunno Ferreira,Armen Petrosyan,Red,SUB,08-03-25,Middleweight
Alex Morono,Carlos Leal,Blue,KO/TKO,08-03-25,Welterweight
Mairon Santos,Francis Marshall,Red,S-DEC,08-03-25,Featherweight
Djorden Santos,Ozzy Diaz,Blue,U-DEC,08-03-25,Middleweight
Manel Kape,Asu Almabayev,Red,KO/TKO,01-03-25,Flyweight
Cody Brundage,Julian Marquez,Red,KO/TKO,01-03-25,Middleweight
Nasrat Haqparast,Esteban Ribovics,Red,S-DEC,01-03-25,Lightweight
Hyder Amil,William Gomis,Red,S-DEC,01-03-25,Featherweight
Danny Barlow,Sam Patterson,Blue,KO/TKO,01-03-25,Welterweight
Austen Lane,Mario Pinto,Blue,KO/TKO,01-03-25,Heavyweight
Ricardo Ramos,Chepe Mariscal,Blue,U-DEC,01-03-25,Featherweight
Danny Silva,Lucas Almeida,Red,S-DEC,01-03-25,Featherweight
Andrea Lee,JJ Aldrich,Blue,U-DEC,01-03-25,Women's Flyweight
Charles Johnson,Ramazan Temirov,Blue,U-DEC,01-03-25,Flyweight
Henry Cejudo,Song Yadong,Blue,U-DEC,22-02-25,Bantamweight
Brendan Allen,Anthony Hernandez,Blue,U-DEC,22-02-25,Middleweight
Rob Font,Jean Matsumoto,Red,S-DEC,22-02-25,Catch Weight
Jean Silva,Melsik Baghdasaryan,Red,KO/TKO,22-02-25,Featherweight
Alonzo Menifield,Julius Walker,Red,S-DEC,22-02-25,Light Heavyweight
Ion Cutelaba,Ibo Aslan,Red,SUB,22-02-25,Light Heavyweight
Andre Fili,Melquizael Costa,Blue,SUB,22-02-25,Featherweight
Mansur Abdul-Malik,Nick Klein,Red,KO/TKO,22-02-25,Middleweight
Ricky Simon,Javid Basharat,Red,KO/TKO,22-02-25,Bantamweight
Nikolay Veretennikov,Austin Vanderford,Blue,KO/TKO,22-02-25,Catch Weight
Nursulton Ruziboev,Eric McConico,Red,KO/TKO,22-02-25,Middleweight
Modestas Bukauskas,Rafael Cerqueira,Red,KO/TKO,22-02-25,Light Heavyweight
JaRed Cannonier,Gregory Rodrigues,Red,KO/TKO,15-02-25,Middleweight
Calvin Kattar,Youssef Zalal,Blue,U-DEC,15-02-25,Featherweight
Edmen Shahbazyan,Dylan Budka,Red,KO/TKO,15-02-25,Middleweight
Ismael Bonfim,Nazim Sadykhov,Blue,KO/TKO,15-02-25,Lightweight
Rodolfo Vieira,Andre Petroski,Blue,U-DEC,15-02-25,Middleweight
Connor Matthews,Jose Delgado,Blue,KO/TKO,15-02-25,Featherweight
Angela Hill,Ketlen Souza,Red,S-DEC,15-02-25,Women's Strawweight
Rafael Estevam,Jesus Aguilar,Red,U-DEC,15-02-25,Flyweight
Gabriel Bonfim,Khaos Williams,Red,SUB,15-02-25,Welterweight
Vince Morales,Elijah Smith,Blue,U-DEC,15-02-25,Bantamweight
Don'Tale Mayes,Valter Walker,Blue,SUB,15-02-25,Heavyweight
Julia Avila,Jacqueline Cavalcanti,Blue,U-DEC,15-02-25,Women's Bantamweight
Dricus Du Plessis,Sean Strickland,Red,U-DEC,08-02-25,Middleweight
Zhang Weili,Tatiana Suarez,Red,U-DEC,08-02-25,Women's Strawweight
Justin Tafa,Tallison Teixeira,Blue,KO/TKO,08-02-25,Heavyweight
Rodolfo Bellato,Jimmy Crute,Blue,M-DEC,08-02-25,Light Heavyweight
Jake Matthews,Francisco Prado,Red,U-DEC,08-02-25,Welterweight
Jack Jenkins,Gabriel Santos,Blue,SUB,08-02-25,Featherweight
Tom Nolan,Viacheslav Borshchev,Red,U-DEC,08-02-25,Lightweight
Wang Cong,Bruna Brasil,Red,U-DEC,08-02-25,Women's Flyweight
Colby Thicknesse,Aleksandre Topuria,Blue,U-DEC,08-02-25,Bantamweight
Rongzhu,Kody Steele,Red,U-DEC,08-02-25,Lightweight
Jonathan Micallef,Kevin Jousset,Red,U-DEC,08-02-25,Welterweight
Quillan Salkilld,Anshul Jubli,Red,KO/TKO,08-02-25,Lightweight
Israel Adesanya,Nassourdine Imavov,Blue,KO/TKO,01-02-25,Middleweight
Shara Magomedov,Michael Page,Blue,U-DEC,01-02-25,Middleweight
Sergei Pavlovich,Jairzinho Rozenstruik,Red,U-DEC,01-02-25,Heavyweight
Said Nurmagomedov,Vinicius Oliveira,Blue,U-DEC,01-02-25,Bantamweight
Fares Ziam,Mike Davis,Red,U-DEC,01-02-25,Lightweight
Muhammad Naimov,Kaan Ofli,Red,U-DEC,01-02-25,Featherweight
Shamil Gaziev,Thomas Petersen,Red,KO/TKO,01-02-25,Heavyweight
Terrance McKinney,Damir Hadzovic,Red,KO/TKO,01-02-25,Lightweight
Jasmine Jasudavicius,Mayra Bueno Silva,Red,U-DEC,01-02-25,Women's Flyweight
Bogdan Grad,Lucas Alexander,Red,KO/TKO,01-02-25,Featherweight
Hamdy Abdelwahab,Jamal Pogues,Red,S-DEC,01-02-25,Heavyweight
Islam Makhachev,Renato Moicano,Red,SUB,18-01-25,Lightweight
Merab Dvalishvili,Umar Nurmagomedov,Red,U-DEC,18-01-25,Bantamweight
Jiri Prochazka,Jamahal Hill,Red,KO/TKO,18-01-25,Light Heavyweight
Jailton Almeida,Serghei Spivac,Red,KO/TKO,18-01-25,Heavyweight
Kevin Holland,Reinier de Ridder,Blue,SUB,18-01-25,Middleweight
Payton Talbott,Raoni Barcelos,Blue,U-DEC,18-01-25,Bantamweight
Zachary Reese,Azamat Bekoev,Blue,KO/TKO,18-01-25,Middleweight
Bogdan Guskov,Billy Elekana,Red,SUB,18-01-25,Light Heavyweight
Grant Dawson,Diego Ferreira,Red,U-DEC,18-01-25,Lightweight
Karol Rosa,Ailin Perez,Blue,U-DEC,18-01-25,Women's Bantamweight
Rinya Nakamura,Muin Gafurov,Blue,U-DEC,18-01-25,Bantamweight
Ricky Turcios,Benardo Sopaj,Blue,U-DEC,18-01-25,Bantamweight
Tagir Ulanbekov,Clayton Carpenter,Red,U-DEC,18-01-25,Flyweight
Mackenzie Dern,Amanda Ribas,Red,SUB,11-01-25,Women's Strawweight
Santiago Ponzinibbio,Carlston Harris,Red,KO/TKO,11-01-25,Welterweight
Cesar Almeida,Abdul Razak Alhassan,Red,KO/TKO,11-01-25,Middleweight
Chris Curtis,Roman Kopylov,Blue,KO/TKO,11-01-25,Middleweight
Christian Rodriguez,Austin Bashi,Red,U-DEC,11-01-25,Featherweight
Punahele Soriano,Uros Medic,Red,KO/TKO,11-01-25,Welterweight
Jose Johnson,Felipe Bunes,Blue,SUB,11-01-25,Flyweight
Marco Tulio,Ihor Potieria,Red,KO/TKO,11-01-25,Middleweight
Thiago Moises,Trey Ogden,Red,U-DEC,11-01-25,Lightweight
Preston Parsons,Jacobe Smith,Blue,KO/TKO,11-01-25,Welterweight
Ernesta Kareckaite,Nicolle Caliari,Red,S-DEC,11-01-25,Women's Flyweight
Magomed Gadzhiyasulov,Bruno Lopes,Blue,U-DEC,11-01-25,Light Heavyweight
Fatima Kline,Viktoriia Dudakova,Red,KO/TKO,11-01-25,Women's Strawweight
Nurullo Aliev,Joe Solecki,Red,U-DEC,11-01-25,Lightweight
Colby Covington,Joaquin Buckley,Blue,KO/TKO,14-12-24,Welterweight
Cub Swanson,Billy Quarantillo,Red,KO/TKO,14-12-24,Featherweight
Manel Kape,Bruno Silva,Red,KO/TKO,14-12-24,Flyweight
Vitor Petrino,Dustin Jacoby,Blue,KO/TKO,14-12-24,Light Heavyweight
Adrian Yanez,Daniel Marcos,Blue,S-DEC,14-12-24,Bantamweight
Navajo Stirling,Tuco Tokkos,Red,U-DEC,14-12-24,Light Heavyweight
Michael Johnson,Ottman Azaitar,Red,KO/TKO,14-12-24,Lightweight
Joel Alvarez,Drakkar Klose,Red,KO/TKO,14-12-24,Lightweight
Sean Woodson,Fernando Padilla,Red,KO/TKO,14-12-24,Featherweight
Miles Johns,Felipe Lima,Blue,U-DEC,14-12-24,Featherweight
Miranda Maverick,Jamey-Lyn Horth,Red,U-DEC,14-12-24,Women's Flyweight
Davey Grant,Ramon Taveras,Red,U-DEC,14-12-24,Bantamweight
Josefine Knutsson,Piera Rodriguez,Blue,U-DEC,14-12-24,Women's Strawweight
